longitude,latitude,object_id,fire_id,asmnt_type,pre_id,post_id,nodata_threshold,low_threshold,moderate_threshold,high_threshold,fire_type,fire_name,greenness_threshold,ig_date,acres
-117.102012732443,40.787005622439,11973,NV4078711710219860703,Initial,50420321984189,50420321986200,-970,110,9999,9999,Wildfire,SPRR 1,-150,1986/07/03 00:00:00+00,1427
-74.356001503693,39.7640080562043,11988,NJ3976407435619860425,Initial (SS),NULL,50140321986100,-9999,200,-260,-9999,Wildfire,SPUR WARREN GROVE RD.,-9999,1986/04/25 00:00:00+00,582
-112.471012252101,43.4240062708372,12032,ID4342411247119860913,Initial (SS),NULL,50390301986300,-9999,-140,-250,-9999,Wildfire,ST. MARYS,-9999,1986/09/13 00:00:00+00,2286
-94.1900066951019,29.6730052186873,12072,TX2967309419019860903,Initial (SS),NULL,50250391986300,-9999,785,-9999,-9999,Wildfire,STAR LAKE,-9999,1986/09/03 00:00:00+00,8876
-116.728013188737,44.0630059446516,12159,ID4406311672819860806,Initial,50420291986210,50420291986200,-970,150,9999,9999,Wildfire,STONE QRY,-150,1986/08/06 00:00:00+00,5287
-120.248012598816,35.0340048409935,12226,CA3503412024819861025,Extended,50420361986210,50420361987200,-970,90,174,315,Wildfire,SUEY RANCH WEST,-150,1986/10/25 00:00:00+00,1262
-118.069013526178,44.5770058590268,12274,OR4457711806919860802,Extended,50430291985198,50430291987200,-970,120,242,420,Wildfire,SUNFLOWER,-150,1986/08/02 00:00:00+00,8506
-155.672024618829,63.5440005108616,12304,AK6354415567219860704,Initial,50730161985200,50740151986200,-970,95,343,625,Wildfire,SUSU,-150,1986/07/04 00:00:00+00,3804
-117.748012798981,40.4490055384987,12339,NV4044911774819860905,Extended,50420321985255,50420321987200,-970,80,150,9999,Wildfire,SWEENEY,-150,1986/09/05 00:00:00+00,2322
-119.256012623795,36.9210050910757,12359,CA3692111925619860721,Initial,50420341985223,50420341986200,-970,70,282,530,Wildfire,SYCAMORE,-150,1986/07/21 00:00:00+00,1165
-112.535011630554,38.9140057785529,12380,UT3891411253519860604,Initial,50380331985227,50380331986200,-970,5,230,9999,Wildfire,TABERNACLE,-150,1986/06/04 00:00:00+00,5072
-151.800026611423,65.4980010214047,12413,AK6549815180019860701,Initial,50710141985202,50730141986200,-970,70,326,610,Wildfire,TAL N 20,-150,1986/07/01 00:00:00+00,36938
-151.500026654482,65.531001071214,12415,AK6553115150019860708,Initial,50710141985202,50730141986200,-970,80,320,620,Wildfire,TAL NE 30,-150,1986/07/08 00:00:00+00,1088
